contribution_id,contribution_code,type,title,date_time,abstract,footnotes,session,session_code,page_number
68,MOP15,Student Poster Presentation,Suppressing Nb oxidation via noble-metal caps and,"Monday, September 22, 2025 2:30 PM",oxide replacement: ab initio guidance,"Funding Agency
This work was supported by the US National Science Foundation under award PHY-1549132, the
Center for Bright Beams.
Author: MENDEZ, Cristobal (Cornell University)
Co-authors: SITARAMAN, Nathan (Cornell University) ;SEDDON-STETTLER, Sadie (Cornell Uni-
versity) ;LIEPE, Matthias (Cornell University) ;Prof. ARIAS, Tomás (Cornell University)
Presenter: MENDEZ, Cristobal (Cornell University)
Session Classification: Monday Poster Session
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 78",Monday Poster Session,MOP,79
69,TUP68,Student Poster Presentation,Development of fault identification pipeline for,"Tuesday, September 23, 2025 2:30 PM",SPIRAL2 is a state-of-the-art superconducting linear accelerator for heavy ions. The radiofre-,"Funding Agency
Author: LASSALLE, Charly (Université de Caen Normandie; GANIL)
Co-authors: Dr GHRIBI, Adnan (GANIL) ;BOULY, Frédéric (Laboratoire de Physique Subatomique
et de Cosmologie) ;Mr DI GIACOMO, Marco (GANIL) ;BONNAY, Patrick (Université Grenoble Alpes;
CEA Grenoble; Institut de Recherche Interdisciplinaire de Grenoble; Département des Systèmes Basses
Températures)
Presenter: LASSALLE, Charly (Université de Caen Normandie; GANIL)
Session Classification: Tuesday Poster Session
Track Classification: MC4: SRF Technologies
September 29, 2025 Page 79",Tuesday Poster Session,TUP,80
70,WEA03,Invited Oral Presentation,Towards high power tests of an FE-FRT for transient,"Wednesday, September 24, 2025 9:10 AM","The design, fabrication, and validation progress towards a ferroelectric fast reactive tuner (FE-FRT)","Funding Agency
Author: SMITH, Samuel (European Organization for Nuclear Research)
Co-authors: MACPHERSON, Alick (European Organization for Nuclear Research) ;STAPLEY, Niall
(European Organization for Nuclear Research) ;Mr BASTARD, Jeremy (European Organization for Nu-
clear Research) ;Mr SCHNEIDER, Paul (European Organization for Nuclear Research) ;Dr BEN-ZVI,
Ilan (Stony Brook University) ;BARRIÈRE, Simon (European Organization for Nuclear Research)
Presenter: SMITH, Samuel (European Organization for Nuclear Research)
Session Classification: Wednesday Oral Session: A
Track Classification: MC4: SRF Technologies
September 29, 2025 Page 80",Wednesday Oral Session A,WEA,81
71,WEB07,Contributed Oral Presentation,Effects of thin gold layers on performance of 2.6 GHz,"Wednesday, September 24, 2025 12:55 PM","SRF cavities are a critical technology both for particle accelerators, where they enable high energies","Funding Agency
This work is supported by U.S. National Science Foundation under Award PHY-1549132, the Center
for Bright Beams, as well as the U.S. Department of Energy under Award DE-SC0024137.
Author: SEDDON-STETTLER, Sadie (Cornell University (CLASSE))
Co-authors: ARIAS, Tomás (Cornell University) ;LIEPE, Matthias (Cornell University) ;MENDEZ,
Cristobal (Cornell University) ;OSEROFF, Thomas (Cornell University) ;SITARAMAN, Nathan (Cor-
nell University) ;Ms DO, Van (University of Chicago) ;Prof. SIBENER, Steven (University of Chicago)
Presenter: SEDDON-STETTLER, Sadie (Cornell University (CLASSE))
Session Classification: Wednesday Oral Session: B
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 81",Wednesday Oral Session B,WEB,82
72,TUA06,Invited Oral Presentation,SIS multilayer studies and status of the new,"Tuesday, September 23, 2025 10:10 AM",cavity-coating system at University of Hamburg,"[1] A. Gurevich, Applied Physics Letters 88, 12511 (2006).
[2] Wenskat. M, Deyu. G. et al., Superconductor Science and Technology 36.1 (2022):
015010.E.
[3] Deyu, G., et al., Chemistry of Materials 36.6 (2024): 2846-2856.
[4] I. Gonzalez Diaz-Palacio et al., Journal of Applied Physics, vol. 134, no. 3, p. 035301, 2023.
Author: PREECE, Lea (Universität Hamburg)
Co-authors: MACPHERSON, Alick (European Organization for Nuclear Research) ;TURNER, Daniel
(European Organization for Nuclear Research) ;Dr DEYU, Getnet Kacha (Universität Hamburg) ;GONZÁLEZ
DÍAZ-PALACIO, Isabel (Universität Hamburg) ;LIEDKE, Maciej Oskar (Helmholtz-Zentrum Dresden-Rossendorf) ;WEN-
SKAT, Marc (Universität Hamburg) ;KLUG, Sebastian (Helmholtz-Zentrum Dresden-Rossendorf) ;HILLERT,
Wolfgang (Universität Hamburg)
September 29, 2025 Page 82",Tuesday Oral Session A,TUA,83
73,MOP21,Student Poster Presentation,Commissioning of chemical vapor deposition system,"Monday, September 22, 2025 2:30 PM",for superconducting thin films,"Both G. Gaitan and A. Grassl are primary authors of this contribution.
Funding Agency
This work was supported by the U.S. National Science Foundation under Award PHY-1549132, the
Center for Bright Beams.
Author: GAITAN, Gabriel (Cornell University)
Co-authors: GRASSL, Alexis (Cornell University) ;HOLIC, Adam (Cornell University) ;HOWES,
Will (Cornell University) ;KULINA, Greg (Cornell University) ;LIEPE, Matthias (Cornell University) ;MID-
DLETON, Caleb (Cornell University) ;QUIGLEY, Peter (Cornell University) ;SEARS, James (Cornell
University) ;SITARAMAN, Nathan (Cornell University)
Presenter: GRASSL, Alexis (Cornell University)
Session Classification: Monday Poster Session
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 84",Monday Poster Session,MOP,85
74,MOP11,Student Poster Presentation,Early exploration of zirconium doping SRF cavities,"Monday, September 22, 2025 2:30 PM",with chemical vapor deposition,"Funding Agency
Author: GRASSL, Alexis (Cornell University)
Co-authors: SITARAMAN, Nathan (Cornell University) ;LIEPE, Matthias (Cornell University)
Presenter: GRASSL, Alexis (Cornell University)
Session Classification: Monday Poster Session
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 85",Monday Poster Session,MOP,86
75,TUP13,Student Poster Presentation,Mechanically polishing electroplated Nb3Sn for,"Tuesday, September 23, 2025 2:30 PM",higher accelerating gradients,"Funding Agency
Author: SHPANI, Liana (Cornell University (CLASSE))
Co-authors: LIEPE, Matthias (Cornell University) ;OSEROFF, Thomas (Cornell University) ;ERE-
MEEV, Grigory (Fermi National Accelerator Laboratory) ;POSEN, Sam (Fermi National Accelerator
Laboratory)
Presenter: SHPANI, Liana (Cornell University (CLASSE))
Session Classification: Tuesday Poster Session
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 86",Tuesday Poster Session,TUP,87
76,MOP20,Student Poster Presentation,Initial results for CVD based growth of Nb₃Sn,"Monday, September 22, 2025 2:30 PM",Niobium-3 tin Nb3Sn is a promising material for next-generation superconducting RF cavities due,"Funding Agency
This work was supported by the U.S. National Science Foundation under Award PHY-1549132, the
Center for Bright Beams and by the U.S. Department of Energy under award DE-SC0024137.
Author: GAITAN, Gabriel (Cornell University)
Co-authors: GRASSL, Alexis (Cornell University) ;MIDDLETON, Caleb (Cornell University) ;LIEPE,
Matthias (Cornell University) ;SITARAMAN, Nathan (Cornell University) ;QUIGLEY, Peter (Cornell
University) ;HOWES, Will (Cornell University)
Presenter: GAITAN, Gabriel (Cornell University)
Session Classification: Monday Poster Session
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 87",Monday Poster Session,MOP,88
77,TUP64,Student Poster Presentation,Field emission and particulate contamination in,"Tuesday, September 23, 2025 2:30 PM",TRIUMF ’s superconducting accelerators,"Funding Agency
Author: MAHON, Aveen (TRIUMF)
Co-author: PLANCHE, Thomas (TRIUMF; University of Victoria)
Presenter: MAHON, Aveen (TRIUMF)
Session Classification: Tuesday Poster Session
Track Classification: MC4: SRF Technologies
September 29, 2025 Page 88",Tuesday Poster Session,TUP,89
78,WEA06,Invited Oral Presentation,Performance of the Cornell conduction-cooledNb3Sn cavity cryomodule,"Wednesday, September 24, 2025 10:10 AM",Recent improvements in Nb3Sn cavity and commercial cryocooler performance have made the,"Funding Agency
Author: PARSONS, Jake (Cornell University)
Co-authors: HOLIC, Adam (Cornell University) ;KULINA, Greg (Cornell University) ;CONKLIN,
Holly (Cornell University) ;SEARS, James (Cornell University) ;TURCO, Jessica (Cornell University) ;LIEPE,
Matthias (Cornell University) ;QUIGLEY, Peter (Cornell University) ;GRUBER-HINE, Terri (Cornell
University) ;SHEMELIN, Valery (Cornell University)
Presenter: PARSONS, Jake (Cornell University)
Session Classification: Wednesday Oral Session: A
Track Classification: MC4: SRF Technologies
September 29, 2025 Page 89",Wednesday Oral Session A,WEA,90
79,TUP10,Student Poster Presentation,Identifying the connections between grain growth,"Tuesday, September 23, 2025 2:30 PM",and flux expulsion in low RRR niobium SRF cavities,"Funding Agency
Work supported by the Fermi National Accelerator Laboratory, managed and operated by Fermi
Forward Discovery Group, LLC under Contract No. 89243024CSC000002 with the U.S. Department
of Energy.
Author: HOWARD, Katrina (University of Chicago)
Co-authors: BAFIA, Daniel (Fermi National Accelerator Laboratory) ;SUNG, Zuhawn (Fermi Na-
tional Accelerator Laboratory) ;DZIEDZIC-MISIEWICZ, Wieslawa (Fermi National Accelerator Labo-
ratory) ;KIM, Young-Kee (University of Chicago; Fermi National Accelerator Laboratory)
Presenter: HOWARD, Katrina (University of Chicago)
Session Classification: Tuesday Poster Session
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 90",Tuesday Poster Session,TUP,91
80,THA03,Invited Oral Presentation,Improving quench fields of enhanced-Tc surfaces,"Thursday, September 25, 2025 9:10 AM",The sensitivity of compound superconductors to gradient-limiting defects is well established. To,"Funding Agency
This work was supported by the U.S. National Science Foundation under Award PHY-1549132, the
Center for Bright Beams
Author: SITARAMAN, Nathan (Cornell University)
Co-authors: BARAISSOV, Zhaslan (Cornell University) ;OSEROFF, Thomas (Cornell University) ;MULLER,
David Anthony (Cornell University) ;LIEPE, Matthias (Cornell University)
Presenter: SITARAMAN, Nathan (Cornell University)
Session Classification: Thursday Oral Session: A
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 91",Thursday Oral Session A,THA,92
81,TUP37,Student Poster Presentation,An Update of the Plasma Processing Developments,"Tuesday, September 23, 2025 2:30 PM",Superconducting Radio Frequency (SRF) technology is a key component in many particle acceler-,"Funding Agency
Author: HEDJI, Daniel (TRIUMF)
Co-authors: LAXDAL, Robert (TRIUMF; University of Victoria) ;KOLB, Philipp (TRIUMF) ;YAO,
Zhongyuan (TRIUMF) ;ZVYAGINTSEV, Vladimir (TRIUMF) ;JUNGINGER, Tobias (University of Vic-
toria; TRIUMF)
Presenter: HEDJI, Daniel (TRIUMF)
Session Classification: Tuesday Poster Session
Track Classification: MC3: Cavities
September 29, 2025 Page 92",Tuesday Poster Session,TUP,93
82,TUP20,Poster Presentation,Density-functional theory study of novel recipes to,"Tuesday, September 23, 2025 2:30 PM",reduce Nb3Sn grain boundary dissipation,"Funding Agency
This work was supported by the U.S. National Science Foundation under Award PHY-1549132, the
Center for Bright Beams
Author: SITARAMAN, Nathan (Cornell University)
Co-author: LIEPE, Matthias (Cornell University)
Presenter: SITARAMAN, Nathan (Cornell University)
Session Classification: Tuesday Poster Session
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 93",Tuesday Poster Session,TUP,94
85,MOA03,Invited Oral Presentation,EIC crab cavity RF systems,"Monday, September 22, 2025 9:10 AM",The Electron-Ion Collider (EIC) is being implemented at Brookhaven National Laboratory (BNL),"Funding Agency
Author: DE SILVA, Subashini (Old Dominion University)
Co-authors: XIAO, Binping (Brookhaven National Laboratory) ;LI, Zenghai (SLAC National Ac-
celerator Laboratory) ;HUQUE, Naeem (Thomas Jefferson National Accelerator Facility) ;ANDHARE,
Chinmay (Thomas Jefferson National Accelerator Facility) ;CHENG, Gary (Thomas Jefferson National
Accelerator Facility) ;Prof. DELAYEN, Jean (Old Dominion University) ;LI, Guangjiang (Brookhaven
National Laboratory) ;WU, Qiong (Brookhaven National Laboratory) ;CASTILLA, Alejandro (Thomas
Jefferson National Accelerator Facility) ;GUO, Jiquan (Thomas Jefferson National Accelerator Facil-
ity);COX, Justine (Thomas Jefferson National Accelerator Facility) ;DRACHUK, Eduard (Thomas
Jefferson National Accelerator Facility) ;CARRIERE, Paul (Thomas Jefferson National Accelerator Fa-
cility) ;BUTTLES, John (Thomas Jefferson National Accelerator Facility) ;SENECAL, Ethan (Thomas
Jefferson National Accelerator Facility) ;OAST, Michelle (Thomas Jefferson National Accelerator Fa-
cility) ;O’BRIEN, Adam (Thomas Jefferson National Accelerator Facility) ;GROSE, Gregory (Thomas
Jefferson National Accelerator Facility) ;RATH, Damon (Thomas Jefferson National Accelerator Facil-
ity);ARMSTRONG, Joshua (Thomas Jefferson National Accelerator Facility) ;VERDU-ANDRES, Silvia
(Brookhaven National Laboratory) ;CONWAY, Zachary (Thomas Jefferson National Accelerator Facil-
ity)
Presenter: DE SILVA, Subashini (Old Dominion University)
September 29, 2025 Page 94",Monday Opening and Awards,MOA,95
86,MOB02,Invited Oral Presentation,LCLS-SC Operations Status and the LCLS-II-HE,"Monday, September 22, 2025 11:20 AM",The Linac Coherent Light Source superconducting linac (LCLS-SC) at SLAC National Accelerator,"Funding Agency
U.S. Department of Energy, contract DE-AC02-76SF00515
I have read and accept the Privacy Policy Statement
Yes
Author: ALSBERG, Lauren (SLAC National Accelerator Laboratory)
Co-authors: GRABOWSKI, Adam (Thomas Jefferson National Accelerator Facility) ;CRAVATTA,
Andrew (Fermi National Accelerator Laboratory) ;BAFIA, Daniel (Fermi National Accelerator Labo-
ratory) ;GONNELLA, Daniel (SLAC National Accelerator Laboratory) ;WHITE, Dominique (SLAC
National Accelerator Laboratory) ;WU, Genfa (Fermi National Accelerator Laboratory) ;CIOVATI, Gi-
anluigi (Thomas Jefferson National Accelerator Facility) ;MARTS, Haley (SLAC National Accelerator
Laboratory) ;MANISCALCO, James (SLAC National Accelerator Laboratory) ;NELSON, Janice (SLAC
National Accelerator Laboratory) ;VENNEKATE, John (Thomas Jefferson National Accelerator Facil-
ity);ZACARIAS, Lisa (SLAC National Accelerator Laboratory) ;CHECCHIN, Mattia (SLAC National
Accelerator Laboratory) ;BEVINS, Michael (Thomas Jefferson National Accelerator Facility) ;DRURY,
Michael (Thomas Jefferson National Accelerator Facility) ;MCCAUGHAN, Michael (Thomas Jefferson
National Accelerator Facility) ;NEVEU, Nicole (SLAC National Accelerator Laboratory) ;ADERHOLD,
Sebastian (SLAC National Accelerator Laboratory) ;ARKAN, Tug (SLAC National Accelerator Labora-
tory)
Presenter: ALSBERG, Lauren (SLAC National Accelerator Laboratory)
Session Classification: Monday Oral Session: B
September 29, 2025 Page 96",Monday Oral Session B,MOB,97
87,FRB02,Invited Oral Presentation,Development of a traveling-wave (TW) structure for,"Friday, September 26, 2025 11:20 AM",High-gradient superconducting RF structures are of keen interest to next-generation linear col-,"Funding Agency
Author: MCGEE, Kellen (Fermi National Accelerator Laboratory)
Co-authors: NETEPENKO, Alex (Fermi National Accelerator Laboratory) ;CONTRERAS-MARTINEZ,
Crispin (Fermi National Accelerator Laboratory) ;FURUTA, Fumio (Fermi National Accelerator Labora-
tory);UMEMORI, Kensei (High Energy Accelerator Research Organization) ;SOLYAK, Nikolay (Fermi
National Accelerator Laboratory) ;AVRAKHOV, Pavel (Euclid Techlabs (United States)) ;KOSTIN, Ro-
man (Euclid Techlabs (United States)) ;KAZAKOV, Sergey (Fermi National Accelerator Laboratory) ;KHABI-
BOULLINE, Timergali (Fermi National Accelerator Laboratory) ;YAKOVLEV, Vyacheslav (Fermi Na-
tional Accelerator Laboratory)
Presenter: MCGEE, Kellen (Fermi National Accelerator Laboratory)
September 29, 2025 Page 98",Friday Oral Session B,FRB,99
88,TUP14,Student Poster Presentation,Measurements of the DC field of first vortexpenetration on modern SRF materials using a,"Tuesday, September 23, 2025 2:30 PM",vibrating sample magnetometer,"Funding Agency
Author: WALLACE, Lucas (University of Victoria)
Co-author: JUNGINGER, Tobias (TRIUMF)
Presenter: WALLACE, Lucas (University of Victoria)
Session Classification: Tuesday Poster Session
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 100",Tuesday Poster Session,TUP,101
89,TUP17,Student Poster Presentation,Characterization of multilayer SRF cavity materials,"Tuesday, September 23, 2025 2:30 PM",using radioactive beam based techniques for,"Funding Agency
Author: ASADUZZAMAN, Md (University of Victoria)
Co-authors: Dr MCFADDEN, Ryan M. L. (TRIUMF; University of Victoria) ;Mr THOENG, Edward
(TRIUMF; University of British Columbia) ;VALENTE-FELICIANO, Anne-Marie (Thomas Jefferson Na-
tional Accelerator Facility) ;Mr BEVERSTOCK, David R. (Thomas Jefferson National Accelerator Facil-
ity);Dr SUTER, Andreas (Paul Scherrer Institute) ;Dr SALMAN, Zaher (Paul Scherrer Institute) ;Dr
PROKSCHA, Thomas (Paul Scherrer Institute) ;KALBOUSSI, Yasmine (Commissariat à l’Energie Atom-
ique);PROSLIER, Thomas (Université Paris-Saclay) ;Dr LI, Ruohong (TRIUMF) ;Dr MORRIS, Gerald
D. (TRIUMF) ;Dr DUNSIGER, Sarah R. (TRIUMF) ;MACFARLANE, W. Andrew (TRIUMF; University
September 29, 2025 Page 101",Tuesday Poster Session,TUP,102
90,WEB06,Contributed Oral Presentation,Dynamics of few-trapped vortices in niobium at,"Wednesday, September 24, 2025 12:40 PM",microwave frequencies,"† C.-Y. Wang, S. M. Anlage, “Microwave Microscope Studies of Trapped Vortex Dynamics in Su-
perconductors, ”https://arxiv.org/abs/2503.02811.
‡ B. Oripov, S. M. Anlage, Phys. Rev. E 101, 033306 (2020).
Author: Dr WANG, Chung-Yang (University of Maryland, College Park)
Co-author: Prof. ANLAGE, Steven (University of Maryland, College Park)
Presenter: Prof. ANLAGE, Steven (University of Maryland, College Park)
Session Classification: Wednesday Oral Session: B
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 103",Wednesday Oral Session B,WEB,104
91,THP19,Poster Presentation,RF and DC vortices in superconductors studied with,"Thursday, September 25, 2025 2:30 PM",time-dependent Ginzburg-Landau theory,"† B. Oripov, S. M. Anlage, Phys. Rev. E 101, 033306 (2020).
‡ C.-Y. Wang, C. Pereira, S. Leith, G. Rosaz, S. M. Anlage, Phys. Rev. Applied 22, 054010 (2024).
§ C.-Y. Wang, S. M. Anlage, arxiv:2503.02811.
Funding Agency
This work is funded by US Department of Energy / High Energy Physics through grant # DE-
SC0017931 and the Maryland Quantum Materials Center.
Author: WANG, Chung-Yang (University of Maryland, College Park)
Co-author: Prof. ANLAGE, Steven (University of Maryland, College Park)
Presenter: Prof. ANLAGE, Steven (University of Maryland, College Park)
Session Classification: Thursday Poster Session
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 104",Thursday Poster Session,THP,105
92,FRA01,Invited Oral Presentation,PIP-II SRF cavities performance and field emission,"Friday, September 26, 2025 8:30 AM",PIP-II project is based on 5 types of SRF cavities. Developing the linac includes several advances,"Funding Agency
Author: HOLZBAUER, Jeremiah (Fermi National Accelerator Laboratory)
Presenter: HOLZBAUER, Jeremiah (Fermi National Accelerator Laboratory)
Session Classification: Friday Oral Session: A
Track Classification: MC3: Cavities
September 29, 2025 Page 105",Friday Oral Session A,FRA,106
93,MOA05,Invited Oral Presentation,Recent advances in 3D SRF cavity-based quantum,"Monday, September 22, 2025 9:50 AM",computing facility at the Fermilab SQMS Center,"Funding Agency
I have read and accept the Privacy Policy Statement
Yes
Author: ROMANENKO, Alexander (Fermi National Accelerator Laboratory)
Presenter: ROMANENKO, Alexander (Fermi National Accelerator Laboratory)
Session Classification: Monday Oral Session: A
Track Classification: MC5: SRF Applications
September 29, 2025 Page 106",Monday Opening and Awards,MOA,107
94,THB02,Invited Oral Presentation,Status of robotics and automation in the SRFcommunity and real applications,"Thursday, September 25, 2025 11:20 AM",The performance of superconducting RF (SRF) cavities is extremely sensitive to contamination by,"Funding Agency
Work supported by the U.S. Department of Energy, Office of Science,
Office of Nuclear Physics under award number DE-SC0025531.
I have read and accept the Privacy Policy Statement
Yes
Author: POPIELARSKI, Laura (Facility for Rare Isotope Beams)
Co-authors: PASSARELLI, Donato (Fermi National Accelerator Laboratory) ;GUO, Hao (Institute of
Modern Physics, Chinese Academy of Sciences) ;RUBER, Roger (Thomas Jefferson National Accelerator
Facility) ;Dr BERRY, Stéphane (Commissariat à l’Énergie Atomique et aux Énergies Alternatives) ;YA-
MADA, Tomohiro (High Energy Accelerator Research Organization)
Presenter: POPIELARSKI, Laura (Facility for Rare Isotope Beams)
Session Classification: Thursday Oral Session: B
Track Classification: MC4: SRF Technologies
September 29, 2025 Page 107",Thursday Oral Session B,THB,108
95,THB01,Invited Oral Presentation,"Semi-automatic robot assisted, clean assembly of","Thursday, September 25, 2025 11:00 AM",PIP-II LB650 cavity string at CEA,"Funding Agency
Author: BERRY, Stéphane (Commissariat à l’Énergie Atomique et aux Énergies Alternatives)
Co-author: BAZIN, Nicolas (Commissariat à l’Energie Atomique)
Presenter: BERRY, Stéphane (Commissariat à l’Énergie Atomique et aux Énergies Alternatives)
Session Classification: Thursday Oral Session: B
Track Classification: MC4: SRF Technologies
September 29, 2025 Page 108",Thursday Oral Session B,THB,109
98,TUB01,Invited Oral Presentation,Systematic study of annealing effects on RF,"Tuesday, September 23, 2025 11:00 AM",properties of HiPIMS Nb film,"Funding Agency
Author: ABDISATAROV, Bektur (Fermi National Accelerator Laboratory)
Presenter: ABDISATAROV, Bektur (Fermi National Accelerator Laboratory)
Session Classification: Tuesday Oral Session: B
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 109",Tuesday Oral Session B,TUB,110
100,WEA01,Invited Oral Presentation,RF characterization of 1.3 GHz single-cell Nb/Cu,"Wednesday, September 24, 2025 8:30 AM",full-seamless cavity manufactured by hydroforming,"Funding Agency
Amada Foundation
Author: ARAKI, Hayato (High Energy Accelerator Research Organization)
Presenter: ARAKI, Hayato (High Energy Accelerator Research Organization)
Session Classification: Wednesday Oral Session: A
Track Classification: MC3: Cavities
September 29, 2025 Page 110",Wednesday Oral Session A,WEA,111
101,TUA03,Invited Oral Presentation,Progress of CSNS-II SRF system,"Tuesday, September 23, 2025 9:10 AM",The China Spallation Neutron Source (CSNS) is the fourth pulsed accelerator-driven neutron source,"Funding Agency
Author: GE, Rui (Institute of High Energy Physics)
Co-authors: ZHANG, Cong (Institute of High Energy Physics) ;HE, Feisi (Institute of High Energy
Physics) ;ZHOU, Wenzhong (Institute of High Energy Physics)
Presenter: GE, Rui (Institute of High Energy Physics)
Session Classification: Tuesday Oral Session: A
Track Classification: MC1: SRF Facilities
September 29, 2025 Page 111",Tuesday Oral Session A,TUA,112
102,TUA05,Invited Oral Presentation,Enhancement of medium-temperature heat-treated,"Tuesday, September 23, 2025 9:50 AM",SRF cavities for high quality and high gradient,"Funding Agency
This work was funded by the Helmholtz Association within the MT ARD and the European XFEL
R&D Program
Author: GOEDECKE, Julia (Deutsches Elektronen-Synchrotron DESY)
Co-authors: STEDER, Lea (Deutsches Elektronen-Synchrotron DESY) ;BATE, Christopher (Deutsches
Elektronen-Synchrotron DESY) ;KASPRZAK, Karol (Deutsches Elektronen-Synchrotron DESY) ;RESCHKE,
Detlef (Deutsches Elektronen-Synchrotron DESY) ;TRELLE, Lennart (Deutsches Elektronen-Synchrotron
DESY) ;WEISE, Hans (Deutsches Elektronen-Synchrotron DESY) ;WIENCEK, Mateusz (Deutsches Elek-
tronen-Synchrotron DESY)
Presenter: GOEDECKE, Julia (Deutsches Elektronen-Synchrotron DESY)
Session Classification: Tuesday Oral Session: A
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 112",Tuesday Oral Session A,TUA,113
105,THP53,Poster Presentation,Development of 1.3 GHz 3-cell superconducting,"Thursday, September 25, 2025 2:30 PM",cavities for high-current application,"Funding Agency
Author: WU, Xiaowei (Zhangjiang Laboratory)
Co-authors: HUANG, Xuan (Shanghai Institute of Applied Physics) ;CHEN, Jinfang (Shanghai Ad-
vanced Research Institute) ;DENG, Haixiao (Shanghai Advanced Research Institute) ;DONG, Pengcheng
(Shanghai Advanced Research Institute, Chinese Academy of Sciences) ;WANG, Zheng (Shanghai Insti-
tute of Applied Physics) ;ZONG, Yue (Shanghai Advanced Research Institute) ;XING, Shuai (Shanghai
Advanced Research Institute, Chinese Academy of Sciences) ;WU, Jiani (Shanghai Advanced Research
Institute, Chinese Academy of Sciences) ;LIU, Xuming (Shanghai Advanced Research Institute, Chinese
Academy of Sciences) ;OUYANG, Xiaohan (Shanghai Advanced Research Institute, Chinese Academy of
Sciences) ;ZHAO, ShenJie (Shanghai Advanced Research Institute) ;ZHAI, Yanfei (Shanghai Advanced
Research Institute, Chinese Academy of Sciences) ;PU, xiaoyun (Shanghai Advanced Research Insti-
tute, Chinese Academy of Sciences) ;WANG, Dong (Shanghai Advanced Research Institute) ;ZHAO,
Yeliang (Shanghai Advanced Research Institute, Chinese Academy of Sciences) ;GUO, Xinghao (Shang-
hai Advanced Research Institute) ;HUANG, Yawei (ShanghaiTech University) ;YAN, Xia (ShanghaiTech
University)
Presenter: WU, Xiaowei (Zhangjiang Laboratory)
Session Classification: Thursday Poster Session
September 29, 2025 Page 113",Thursday Poster Session,THP,114
106,MOP52,Student Poster Presentation,Electromagnetic-thermal coupling study of the,"Monday, September 22, 2025 2:30 PM",SHINE injector cavity,"Funding Agency
Author: GUO, Xinghao (Shanghai Advanced Research Institute)
Co-authors: DENG, Haixiao (Shanghai Advanced Research Institute) ;CHEN, Jinfang (Shanghai Ad-
vanced Research Institute) ;ZHAO, ShenJie (Shanghai Advanced Research Institute, Chinese Academy
of Sciences) ;WU, Xiaowei (Shanghai Zhangjiang Laboratory) ;HUANG, Xuan (Shanghai Institute of
Applied Physics)
Presenter: GUO, Xinghao (Shanghai Advanced Research Institute)
Session Classification: Monday Poster Session
Track Classification: MC3: Cavities
September 29, 2025 Page 115",Monday Poster Session,MOP,116
107,THP10,Poster Presentation,Thermal and magnetic flux dynamics in,"Thursday, September 25, 2025 2:30 PM",superconducting niobium cavities: implications for,"Funding Agency
Government of India, Department of Science and Technology, DST-PURSE Grant No. SR/PURSE/2023/169(G)
Dated 13/12/2023
Author: GURAZADA, Ravikumar (GITAM University)
Co-authors: Dr ANGANI, Chandrasekhar (GITAM University) ;Prof. ROY, Sindhunil B. (Ramakr-
ishna Mission Vivekananda Educational and Research Institute) ;YAMAMOTO, Akira (KEK Applied
Research Laboratory) ;Prof. MYNENI, Ganapati (GITAM University)
Presenter: GURAZADA, Ravikumar (GITAM University)
Session Classification: Thursday Poster Session
September 29, 2025 Page 116",Thursday Poster Session,THP,117
108,TUP11,Student Poster Presentation,Development of in situ thickness sensor for vapor,"Tuesday, September 23, 2025 2:30 PM",Fermilab is one of the leaders in development of vapor diffused Nb3Sn films inside niobium cavities.,"Funding Agency
Work supported by the Fermi National Accelerator Laboratory, managed and operated by Fermi
Forward Discovery Group, LLC under Contract No. 89243024CSC000002 with the U.S. Department
of Energy.
Author: HOWARD, Katrina (University of Chicago)
Co-authors: EREMEEV, Grigory (Fermi National Accelerator Laboratory) ;POSEN, Sam (Fermi Na-
tional Accelerator Laboratory) ;TENNIS, Brad (Fermi National Accelerator Laboratory) ;BAFIA, Daniel
(Fermi National Accelerator Laboratory) ;KIM, Young-Kee (University of Chicago; Fermi National Ac-
celerator Laboratory)
Presenter: HOWARD, Katrina (University of Chicago)
Session Classification: Tuesday Poster Session
Track Classification: MC3: Cavities
September 29, 2025 Page 118",Tuesday Poster Session,TUP,119
